001,2009:12:18,FR,-,Régime de la petite indemnité,Constant ,Pierre De Jaeger ,rémunération écriture et réalisation fiction radio
002,2009:12:17,NL,-,Facture Zinnema,Constant ,-,achat câbles
003,2009:11:19,FR,-,Liste,Constant ,-,livraison matériel électronique
004,2009:10:30,FR,-,Liste,Constant ,-,journalistes
005,2009:11:20,FR,MM ,Schéma ,Constant ,-,plan hébergement artistes 
006,-,FR,MM ,Notes,Constant ,-,décompte frais
007,-,FR,MM ,Liste,Constant ,-,décompte salaires et per diem artistes 
008,-,FR,MM ,Schéma ,Constant ,-,plan et frais transports artistes 
009,-,FR,MM ,Schéma ,Constant ,-,plan hébergement artistes 2 
010,2009:11:06,NL,-,Liste,Constant ,-,paiements caisse
011,2009:11:06,NL,-,Liste,Constant ,-,liste factures payées au 06/11/09
012,2009:12:11,NL,-,Facture Femke Snelting ,Constant ,-,facture remboursement Hôtel Barry à Bruxelles 
013,2009:11:23,FR,-,Convention ,Pierre Duruisseau pour Constant,Titanne Bregentzer ,convention d'hébergement pour Marloes Van Der Hoek
014,2009:12:02,NL,-,Facture Q-O2 ,Constant ,-,location appartement du 28-30 nov 2009 
015,2009:12:04,NL,-,Ticket ,Maison Lefebvre,Constant ,remboursement Femke pour achat matériel pour expo
016,2009:12:04,NL,-,Ticket ,Elak electronics ,Constant ,remboursement à Michael pour achat matériel pour expo 
017,2009:12:04,NL,-,Ticket ,Elak electronics & Schleiper Art-Shop,Constant ,remboursement Femke pour achat matériel pour expo
018,2009:12:04,NL,-,Ticket ,Prima-Hemmat supermarché ,Constant ,remboursement Femke pour catering du 26/11/09
019,2009:12:04,NL,-,Ticket ,Palais du Cache-Poussiere,Constant ,remboursement Femke pour achat matériel pour expo
020,2009:11:20,FR,-,Facture,Ethias Assurance ,Constant ,assurance matériel pour expo utilisé lors du festival 19-30/11/09 
021,2009:11:13,FR,-,Facture,Atlantis ,Constant ,achat tapis gris pour expo
022,2009:08:11,NL,MM ,Facture,Vlaamse Gemeenschapscommisie ,Constant ,location projecteur 23-29/11/09 
023,2009:09:02,NL,MM ,Facture,Vlaamse Gemeenschapscommisie ,Constant ,location projecteur et écran 24-29/11/09
024,2009:12:01,NL,-,Facture,Leav Interactive Media ,Constant ,location matériel audio pour « Ticket Poetry » de Anne-James Chaton le 29/11/09 
025,2009:11:30,FR,-,Facture,Imprimerie Stimanne,Constant ,impression750 posters, 1000 lettres et 750 booklets 
026,2009:11:28,FR,-,Reçu ,Belgium Copy ,Constant ,impression 20 programmes détaillés pour expo 
027,2009:11:24,FR,-,Formulaire remboursement frais ,Constant ,Pierre Deruisseau,remboursement achat vinyle pour expo 
028,2009:11:21,FR,-,Formulaire remboursement frais ,Constant ,Pierre Deruisseau,remboursement achat néons et consoles pour expo
029,2009:11:23,FR,-,Formulaire remboursement frais ,Constant ,Pierre Deruisseau,remboursement achat matériel pour expo 
030,2009:11:13,FR,-,Formulaire remboursement frais ,Constant ,Pierre Deruisseau,remboursement copies clés pour expo 
031,2009:11:19,FR,-,Ticket ,Dynaprint,Constant ,copies pour expo
032,2009:11:28,FR,-,Ticket ,Casa ,Constant ,achat poubelle pour expo
033,2009:11:24,FR,-,Ticket ,Tino-tapis ,Constant ,achat vinyle pour sol expo
034,2009:11:18,FR,-,Ticket ,Elak electronics ,Constant ,achat matériel pour expo
035,2009:11:29,FR,-,Formulaire remboursement frais ,Constant ,Anne-James Chaton,remboursement envoi affiche pour expo 
036,2009:11:26,FR,MM ,Ticket ,Delhaize ,Constant ,achat sachets pour per diem 
037,2009:11:26,FR,MM ,Ticket ,Dynaprints ,Constant ,copies programme
038,2009:11:27,FR,MM ,Ticket ,Gécé ,Constant ,achat 10 enveloppes blanches pour farde accueil intervenants 
039,2009:11:29,FR,-,Ticket ,Manuka prl ,Constant ,catering
040,2009:11:23,FR,-,Ticket ,Pataya ,Constant ,catering
041,2009:12:04,FR,-,Facture,Cou-Couk ,Constant ,catering du 27-28/11/09
042,2009:12:07,FR,-,Facture,Verein zur Aufhebung des Notwendigen ,Constant ,catering performance du 29/11/09 
043,2009:11:29,FR,-,Ticket ,Sans titre ,Constant ,catering petit déjeuner
044,2009:11:29,FR,-,Ticket ,Delhaize ,Constant ,catering vidange 
045,2009:11:29,FR,-,Ticket ,Le Pain Quotidien,Constant ,catering petit déjeuner
046,2009:11:30,FR,-,Ticket ,Bio Shop ,Constant ,catering midi équipe 
047,2011:11:30,FR,-,Ticket ,Delhaize ,Constant ,catering retour vidange 
048,2009:11:23,FR,-,Formulaire remboursement frais ,Constant ,Nicolas Malevé ,remboursement catering 
049,2009:11:24,FR,-,Formulaire remboursement frais ,Constant ,Pierre Deruisseau,remboursement catering 
050,2009:11:25,FR,-,Ticket ,Bio Shop ,Constant ,catering
051,2009:11:25,FR,-,Ticket ,Bio Shop ,Constant ,catering
052,2009:11:26,FR,-,Ticket ,Bio Shop ,Constant ,catering
053,2009:11:27,FR,-,Ticket ,GB ,Constant ,catering
054,2009:11:27,FR,-,Ticket ,Bio Shop ,Constant ,catering
055,2009:11:28,FR,MM ,Ticket ,Bio Shop ,Constant ,catering
056,2009:11:28,FR,MM ,Ticket ,Prima-Hemmat supermarché ,Constant ,catering
057,2009:06:27,NL,-,Formulaire remboursement frais ,Constant ,Femke Snelting ,catering préparation V/J12 
058,2009:11:30,FR,-,Facture L'Assiette Gourmande ,Constant ,-,location matériel pour catering du 29/11/09 
059,2009:11:20,EN,-,Formulaire per diem,Constant ,Marloes Van Der Hoek ,per diem
060,2009:11:20,EN,MM ,Formulaire per diem,Constant ,Michael Moss ,per diem
061,2009:11:20,EN,-,Formulaire per diem,Constant ,Dr Pieters ,per diem
062,2009:11:20,EN,-,Formulaire per diem,Constant ,Seda Gurses,per diem
063,2009:11:20,EN,-,Formulaire per diem,Constant ,Andrew Goffey,per diem
064,2009:11:20,EN,-,Formulaire per diem,Constant ,Anne-James Chaton,per diem
065,2009:11:20,EN,-,Formulaire per diem,Constant ,Matthew Fuller ,per diem
066,2009:11:20,EN,-,Formulaire per diem,Constant ,Ivan Munroy Lopez,per diem
067,2009:11:20,EN,-,Formulaire per diem,Constant ,Annemieke Van Der Hoek ,per diem
068,2009:11:20,EN,-,Formulaire per diem,Constant ,Claudia Borges ,per diem
069,2009:11:26,FR,-,Ticket ,Mobistar ,Constant ,carte téléphonique Clémentine
070,2009:12:04,FR,-,Reçu ,Transport Taxi ,Constant ,remboursement taxi Michael 
071,2009:06:27,NL,-,Facture,Femke Snelting ,Constant ,développement festival 
072,2009:11:27,FR,-,Ticket ,Base ,Constant ,carte téléphonique Pierre Deruisseau 
073,2009:11:29,FR,-,Ticket ,Transport Taxi ,Constant ,taxi Clémentine 
